# UTF-8 encoding required. First line ignored; subsequent lines: description for dropdown | optikey enum | extra info
Catalan (Spain) / Català (Espanya)|CatalanSpain|
Croatian (Croatia) / Hrvatski (Hrvatska)|CroatianCroatia|
Czech (Czech Rep.) / Čeština (Česko)|CzechCzechRepublic|
Danish (Denmark) / Dansk (Danmark)|DanishDenmark|
Dutch (Belgium) / Nederlands (België)|DutchBelgium|
Dutch (Netherlands) / Nederlands (Nederland)|DutchNetherlands|
English (Canada)|EnglishCanada|
English (UK)|EnglishUK|
English (US)|EnglishUS|
French (Canada) / Française (Canada)|FrenchCanada|
French (France) / Française (France)|FrenchFrance|
Georgian (Georgia) / ქართული (საქართველო)|GeorgianGeorgia|
German (Germany) / Deutsch (Deutschland)|GermanGermany|
Greek (Greece) / Ελληνικά (Ελλάδα)|GreekGreece|
Italian (Italy) / Italiano (Italia)|ItalianItaly|
Japanese (Japan) / 日本語 (日本)|JapaneseJapan|
Korean (Korea) / 한국어 (한국)|KoreanKorea|
Persian (Iran) / فارسی (ایرانی)|PersianIran|
Polish (Poland) / Polski (Polska)|PolishPoland|
Portuguese (Portugal) / Português (Portugal)|PortuguesePortugal|
Russian (Russia) / Русский (Россия)|RussianRussia|
Serbian (Serbia) / Српски (Србија)|SerbianSerbia|
Slovak (Slovakia) / Slovenčina (Slovensko) |SlovakSlovakia|
Slovenian (Slovenia) / Slovensko (Slovenija)|SlovenianSlovenia|
Spanish (Spain) / Español (España)|SpanishSpain|
Turkish (Turkey) / Türkçe (Türkiye)|TurkishTurkey|
Ukrainian (Ukraine) / Українська (Україна)|UkrainianUkraine|
Urdu (Pakistan) / اردو (پاکستان)|UrduPakistan|
